TimeID,ShopID,UserID,ProductID,TotalIncome,TotalProductOrdered
502,SH00231,SU00696,PR00246,1436908,11
502,SH00231,SU00696,PR00277,2145990,22
502,SH00231,SU00696,PR00288,848244,12
502,SH00231,SU00696,PR00338,17826771,47
502,SH00231,SU00696,PR00408,1095816,3
502,SH00231,SU00696,PR00433,16651448,38
502,SH00231,SU00696,PR00467,3126272,8
502,SH00231,SU00696,PR00598,335090,7
502,SH00231,SU00696,PR00603,4384149,21
502,SH00231,SU00696,PR00737,3362004,18
502,SH00231,SU00696,PR00763,1328934,3
502,SH00231,SU00696,PR00772,9686352,39
502,SH00231,SU00696,PR00871,1680696,24
502,SH00231,SU00696,PR00956,2874846,6
771,SH00864,SU00229,PR00171,2974412,28
771,SH00864,SU00229,PR00193,1990995,29
771,SH00864,SU00229,PR00257,9877102,34
771,SH00864,SU00229,PR00298,2987904,6
771,SH00864,SU00229,PR00405,6175364,26
771,SH00864,SU00229,PR00462,14229072,39
771,SH00864,SU00229,PR00463,16218096,48
771,SH00864,SU00229,PR00489,5004064,26
771,SH00864,SU00229,PR00561,2644213,41
771,SH00864,SU00229,PR00693,7228515,35
771,SH00864,SU00229,PR00803,19667520,40
771,SH00864,SU00229,PR00819,3146156,17
771,SH00864,SU00229,PR00896,3146159,31
771,SH00864,SU00229,PR00907,1324540,5
771,SH00864,SU00229,PR00959,1747644,4
56,SH00356,SU00077,PR00009,2810240,10
56,SH00356,SU00077,PR00023,87720,6
56,SH00356,SU00077,PR00035,5640215,35
56,SH00356,SU00077,PR00133,3893648,22
56,SH00356,SU00077,PR00161,6764631,41
56,SH00356,SU00077,PR00308,11209968,48
56,SH00356,SU00077,PR00333,15114312,36
56,SH00356,SU00077,PR00412,1141812,23
56,SH00356,SU00077,PR00467,6252544,16
56,SH00356,SU00077,PR00481,1175394,3
56,SH00356,SU00077,PR00671,13800736,32
56,SH00356,SU00077,PR00676,11138716,41
56,SH00356,SU00077,PR00680,891484,22
56,SH00356,SU00077,PR00724,11877530,29
56,SH00356,SU00077,PR00743,12420408,28
56,SH00356,SU00077,PR00838,12881622,39
56,SH00356,SU00077,PR00886,4599342,27
56,SH00356,SU00077,PR00975,7280458,38
538,SH00213,SU00429,PR00065,1932152,8
538,SH00213,SU00429,PR00265,6191640,35
538,SH00213,SU00429,PR00436,4539400,10
538,SH00213,SU00429,PR00450,4437240,10
538,SH00213,SU00429,PR00546,947088,9
538,SH00213,SU00429,PR00672,1134459,27
538,SH00213,SU00429,PR00686,130884,2
538,SH00213,SU00429,PR00712,11384715,37
538,SH00213,SU00429,PR00845,33680,1
538,SH00213,SU00429,PR00964,1258590,6
748,SH00982,SU00693,PR00090,7975080,45
748,SH00982,SU00693,PR00110,18245168,38
748,SH00982,SU00693,PR00215,2036374,23
748,SH00982,SU00693,PR00276,12169444,28
748,SH00982,SU00693,PR00282,3923248,14
748,SH00982,SU00693,PR00300,6502653,31
748,SH00982,SU00693,PR00334,1257459,7
748,SH00982,SU00693,PR00462,17877552,49
748,SH00982,SU00693,PR00501,6629712,48
748,SH00982,SU00693,PR00564,9354835,35
748,SH00982,SU00693,PR00580,14379785,49
748,SH00982,SU00693,PR00642,9772680,30
748,SH00982,SU00693,PR00804,506703,3
748,SH00982,SU00693,PR00822,185490,1
748,SH00982,SU00693,PR00879,17143203,47
748,SH00982,SU00693,PR00905,7190788,44
748,SH00982,SU00693,PR00913,5079918,46
748,SH00982,SU00693,PR00941,13180596,33
748,SH00982,SU00693,PR00970,1841424,6
748,SH00982,SU00693,PR00973,435322,1
500,SH00246,SU00099,PR00002,2495633,7
500,SH00246,SU00099,PR00021,3609712,23
500,SH00246,SU00099,PR00035,2578384,16
500,SH00246,SU00099,PR00142,4185532,13
500,SH00246,SU00099,PR00156,1465695,27
500,SH00246,SU00099,PR00170,12936363,33
500,SH00246,SU00099,PR00214,14794728,39
500,SH00246,SU00099,PR00296,2587268,19
500,SH00246,SU00099,PR00344,846072,27
500,SH00246,SU00099,PR00375,19743920,40
500,SH00246,SU00099,PR00387,1053153,3
500,SH00246,SU00099,PR00553,2079816,8
500,SH00246,SU00099,PR00585,6454104,24
500,SH00246,SU00099,PR00636,2530328,8
500,SH00246,SU00099,PR00665,1156052,31
500,SH00246,SU00099,PR00869,1783980,5
500,SH00246,SU00099,PR00933,590484,6
500,SH00246,SU00099,PR00970,306904,1
231,SH00639,SU00003,PR00104,9044157,31
231,SH00639,SU00003,PR00228,9043847,31
231,SH00639,SU00003,PR00350,2824890,30
231,SH00639,SU00003,PR00354,21180516,46
231,SH00639,SU00003,PR00371,3841770,15
231,SH00639,SU00003,PR00389,5670362,47
231,SH00639,SU00003,PR00392,24423550,50
231,SH00639,SU00003,PR00446,303585,15
231,SH00639,SU00003,PR00559,3604032,12
231,SH00639,SU00003,PR00597,2448411,31
231,SH00639,SU00003,PR00675,19842984,42
231,SH00639,SU00003,PR00793,10090794,21
231,SH00639,SU00003,PR00826,4952832,48
589,SH00732,SU00473,PR00041,6855154,31
589,SH00732,SU00473,PR00131,7626555,45
589,SH00732,SU00473,PR00295,2120936,8
589,SH00732,SU00473,PR00312,121240,2
589,SH00732,SU00473,PR00317,9855576,36
589,SH00732,SU00473,PR00483,330885,19
589,SH00732,SU00473,PR00584,8006407,29
589,SH00732,SU00473,PR00611,17925612,37
